POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,price,area,bedrooms,longitude,latitude,CITY_NAME
Owner,0,0,2,BHK,1300.236407,1,1,"Ksfc Layout,Bangalore",12.96991,77.59796,5500000.0,1300.236407,2,12.96991,77.59796,Unknown
Dealer,0,0,2,BHK,1275.0,1,1,"Vishweshwara Nagar,Mysore",12.274538,76.644605,5100000.0,1275.0,2,12.274538,76.644605,Unknown
Owner,0,0,2,BHK,933.1597222,1,1,"Jigani,Bangalore",12.778033,77.632191,4300000.0,933.1597222,2,12.778033,77.632191,Unknown
Owner,0,1,2,BHK,929.9211427,1,1,"Sector-1 Vaishali,Ghaziabad",28.6423,77.3445,6250000.0,929.9211427,2,28.6423,77.3445,Unknown
Dealer,1,0,2,BHK,999.009247,0,1,"New Town,Kolkata",22.5922,88.484911,6050000.0,999.009247,2,22.5922,88.484911,Unknown
Owner,0,0,3,BHK,1250.0,1,1,"South Chittoor,Kochi",10.03328,76.28257099999999,4200000.0,1250.0,3,10.03328,76.28257099999999,Unknown
Dealer,0,0,3,BHK,1495.053957,1,1,"Sodala,Jaipur",26.916347,75.7956,6650000.0,1495.053957,3,26.916347,75.7956,Unknown
Owner,0,1,3,BHK,1181.012946,1,1,"Kharar,Mohali",30.74,76.65,5200000.0,1181.012946,3,30.74,76.65,Unknown
Dealer,0,1,2,BHK,1040.0,1,1,"Bileshivale,Bangalore",13.054202,77.674002,4160000.0,1040.0,2,13.054202,77.674002,Unknown
Owner,0,1,2,BHK,879.1208791000001,1,1,"Chromepet,Chennai",12.95161,80.14097,3600000.0,879.1208791000001,2,12.95161,80.14097,Unknown
Owner,0,0,3,BHK,1350.308642,1,1,"Deshbandhu Para,Siliguri",26.724219,88.326357,3500000.0,1350.308642,3,26.724219,88.326357,Unknown
Dealer,0,0,2,BHK,1333.010179,1,1,"Hebbal,Bangalore",13.04034,77.591347,11000000.0,1333.010179,2,13.04034,77.591347,Unknown
Owner,0,0,2,BHK,927.1779023,1,1,"Garebhavipalya,Bangalore",12.96991,77.59796,4800000.0,927.1779023,2,12.96991,77.59796,Unknown
Owner,0,1,2,BHK,1122.1719460000002,1,1,"Sector-119 Noida,Noida",28.587711,77.403123,6200000.0,1122.1719460000002,2,28.587711,77.403123,Unknown
Owner,0,0,1,BHK,649.9837504,1,1,"sanjay nagar,Raigad",13.0352,77.5772,2000000.0,649.9837504,1,13.0352,77.5772,Unknown
Dealer,1,1,3,BHK,1394.117647,0,1,"Sector-150 Noida,Noida",28.429614,77.481711,7109999.999999999,1394.117647,3,28.429614,77.481711,Unknown
Owner,0,0,3,BHK,1800.08471,1,1,"Jharapada,Bhubaneswar",20.275267000000003,85.86240699999999,8500000.0,1800.08471,3,20.275267000000003,85.86240699999999,Unknown
Dealer,1,1,3,BHK,2124.896706,0,1,"Konanakunte,Bangalore",12.8855,77.5638,18000000.0,2124.896706,3,12.8855,77.5638,Unknown
Owner,0,0,2,BHK,1100.0,1,1,"Nagpur Road,Wardha",21.15389,79.08306,2200000.0,1100.0,2,21.15389,79.08306,Unknown
Dealer,0,1,3,BHK,2178.649237,1,1,"Kogilu,Bangalore",13.092356,77.61346800000001,12000000.0,2178.649237,3,13.092356,77.61346800000001,Unknown
Owner,0,0,2,BHK,881.1435285,1,1,"Poonamallee,Chennai",13.05,80.11,4500000.0,881.1435285,2,13.05,80.11,Unknown
Dealer,0,0,2,BHK,944.8818898,1,1,"Undri,Pune",18.452663,73.93104,4200000.0,944.8818898,2,18.452663,73.93104,Unknown
Dealer,0,1,3,BHK,1310.147689,1,1,"Sector-134 Noida,Noida",28.5041,77.381557,5500000.0,1310.147689,3,28.5041,77.381557,Unknown
Dealer,0,0,1,BHK,630.00063,1,1,"Bandra (West),Mumbai",19.05444,72.84056,30000000.0,630.00063,1,19.05444,72.84056,Unknown
Dealer,0,0,2,BHK,1219.80971,1,1,"Narendra Nagar,Nagpur",21.105779,79.078497,5000000.0,1219.80971,2,21.105779,79.078497,Unknown
Owner,0,0,2,BHK,780.141844,1,1,"Kudgat,Kolkata",22.54111,88.33778000000001,2750000.0,780.141844,2,22.54111,88.33778000000001,Unknown
Owner,0,0,3,BHK,1600.0,1,1,"Sain Vihar,Ghaziabad",28.63601,77.433724,4600000.0,1600.0,3,28.63601,77.433724,Unknown
Dealer,0,0,2,BHK,1180.412371,1,1,"Sector-115 Mohali,Mohali",30.712867,76.648557,2290000.0,1180.412371,2,30.712867,76.648557,Unknown
Owner,1,0,2,BHK,1000.0,0,1,"Mohan Asram,Deoghar",24.48,86.7,3900000.0,1000.0,2,24.48,86.7,Unknown
Dealer,0,0,2,BHK,1000.0,1,1,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,1250000.0,1000.0,2,28.2102,76.8606,Unknown
Dealer,0,0,3,BHK,1400.107701,1,1,"Sector 84 Faridabad,Faridabad",28.404729999999997,77.367514,5200000.0,1400.107701,3,28.404729999999997,77.367514,Unknown
Dealer,0,1,2,BHK,943.1266076,1,1,"Sector-134 Noida,Noida",28.5041,77.381557,3300000.0,943.1266076,2,28.5041,77.381557,Unknown
Owner,0,0,2,BHK,1150.146382,1,1,"Indra Colony,Jaipur",26.586306,74.873234,5500000.0,1150.146382,2,26.586306,74.873234,Unknown
Dealer,1,1,1,BHK,864.0674393999999,0,1,"Thane West,Lalitpur",19.18,72.96333,8200000.0,864.0674393999999,1,19.18,72.96333,Unknown
Dealer,0,1,2,BHK,857.7861968000001,1,0,"Mulund (West),Maharashtra",19.1759,72.9522,24000000.0,857.7861968000001,2,19.1759,72.9522,Unknown
Owner,0,0,3,BHK,1174.210077,1,1,"Thalambur,Chennai",12.852171,80.216826,5500000.0,1174.210077,3,12.852171,80.216826,Unknown
Dealer,1,1,2,BHK,1020.087884,0,1,"Wakad,Pune",18.5993,73.7625,6500000.0,1020.087884,2,18.5993,73.7625,Unknown
Owner,0,0,4,BHK,1650.165017,1,1,"Vasna,Vadodara",22.312063,72.674296,6500000.0,1650.165017,4,22.312063,72.674296,Unknown
Dealer,1,0,2,BHK,1000.0,0,1,"Madhurawada,Visakhapatnam",17.815234,83.35818,3500000.0,1000.0,2,17.815234,83.35818,Unknown
Owner,0,0,3,BHK,1300.052002,1,1,"Vasanthapura,Bangalore",12.894088,77.548914,7500000.0,1300.052002,3,12.894088,77.548914,Unknown
Dealer,1,1,1,BHK,40606.19568,0,0,"Kanjur Marg (East),Lalitpur",24.69028,78.41889,911000000.0,40606.19568,1,24.69028,78.41889,Unknown
Dealer,0,1,2,BHK,1058.114928,1,1,"Sus,Pune",18.539812,73.737678,6500000.0,1058.114928,2,18.539812,73.737678,Unknown
Dealer,1,0,1,BHK,400.0,0,1,"Kharadi,Pune",18.5438,73.9438,3000000.0,400.0,1,18.5438,73.9438,Unknown
Dealer,0,1,3,BHK,1274.924779,1,1,"Marol,Mumbai",22.803593,83.755013,25000000.0,1274.924779,3,22.803593,83.755013,Unknown
Dealer,0,0,2,BHK,1026.694045,1,1,"Wadala East,Lalitpur",19.014858,72.8662,22000000.0,1026.694045,2,19.014858,72.8662,Unknown
Owner,0,0,2,BHK,1150.121065,1,1,"Near Ambamata Mandir,Vapi",20.366670000000003,72.9,3800000.0,1150.121065,2,20.366670000000003,72.9,Unknown
Owner,0,0,3,BHK,1200.0,1,1,"Patel Nagar-II,Ghaziabad",28.460928000000003,77.03939100000001,6000000.0,1200.0,3,28.460928000000003,77.03939100000001,Unknown
Dealer,0,0,1,RK,475.0103263,1,1,"Balkum,Lalitpur",24.69028,78.41889,4600000.0,475.0103263,1,24.69028,78.41889,Unknown
Builder,1,1,1,BHK,301.91711630000003,0,0,"Taloja,Lalitpur",24.69028,78.41889,2630000.0,301.91711630000003,1,24.69028,78.41889,Unknown
Dealer,1,1,2,BHK,1228.571429,0,1,"Bolar,Mangalore",12.843852,74.845271,5160000.0,1228.571429,2,12.843852,74.845271,Unknown
Owner,0,0,2,BHK,986.0164934,1,1,"Ayanambakkam,Chennai",13.077175,80.151453,5500000.0,986.0164934,2,13.077175,80.151453,Unknown
Dealer,1,1,3,BHK,1972.565158,0,1,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,7190000.000000001,1972.565158,3,28.431862,77.351104,Unknown
Dealer,1,1,1,BHK,420.6166888,0,1,"Sindhi Society Chembur,Lalitpur",19.048403,72.88731,13000000.0,420.6166888,1,19.048403,72.88731,Unknown
Owner,0,0,3,BHK,1275.009808,1,1,"Shiv Mandir,Siliguri",25.232239,71.392013,3250000.0,1275.009808,3,25.232239,71.392013,Unknown
Dealer,1,1,1,BHK,406.024219,0,0,"Kalyan (West),Maharashtra",19.245347,73.124577,3990000.0,406.024219,1,19.245347,73.124577,Unknown
Dealer,0,0,3,BHK,1862.562189,1,1,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,5990000.0,1862.562189,3,28.431862,77.351104,Unknown
Owner,0,0,2,BHK,950.0146156,1,1,"Nandanwan Phases 2,Aurangabad",19.88879,75.34344,6500000.0,950.0146156,2,19.88879,75.34344,Unknown
Owner,0,1,4,BHK,5200.945626,1,1,"Sector-76 Noida,Noida",28.567633,77.383124,11000000.0,5200.945626,4,28.567633,77.383124,Unknown
Dealer,0,0,2,BHK,1049.969344,1,1,"Basaveshwara Nagar,Bangalore",12.985039,77.54383,6850000.0,1049.969344,2,12.985039,77.54383,Unknown
Dealer,0,0,3,BHK,1615.008157,1,1,"Maniktala,Kolkata",22.589694,88.372957,9900000.0,1615.008157,3,22.589694,88.372957,Unknown
Dealer,0,0,3,BHK,1150.0069,1,1,"Wadala East,Lalitpur",19.014858,72.8662,25000000.0,1150.0069,3,19.014858,72.8662,Unknown
Owner,0,0,2,BHK,1100.0,1,1,"Jhotwara,Jaipur",26.955346,75.73479300000001,2750000.0,1100.0,2,26.955346,75.73479300000001,Unknown
Dealer,1,1,2,BHK,906.2661833,0,0,"Balkum,Lalitpur",24.69028,78.41889,7000000.0,906.2661833,2,24.69028,78.41889,Unknown
Owner,0,0,3,BHK,1454.333915,1,1,"Poolakkaparambu,Ottapalam",10.77,76.38,5000000.0,1454.333915,3,10.77,76.38,Unknown
Owner,0,0,3,BHK,1591.994542,1,1,"Sector-137 Noida,Noida",28.506454,77.40956800000001,7000000.0,1591.994542,3,28.506454,77.40956800000001,Unknown
Dealer,0,1,2,BHK,573.8769151,1,1,"Sector 86 Faridabad,Faridabad",28.406388,77.342588,2210000.0,573.8769151,2,28.406388,77.342588,Unknown
